name,released_tmdb,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Call Me by Your Name,2017-09-01,R,Drama,2017,"January 19, 2018 (United States)",7.9,228000.0,Luca Guadagnino,James Ivory,Armie Hammer,Italy,,41888660.0,Frenesy Film Company,132.0
I Want to Eat Your Pancreas,2018-09-01,Not Rated,Animation,2018,"September 1, 2018 (Japan)",8.0,11000.0,Shin'ichirô Ushijima,Yoru Sumino,Mahiro Takasugi,Japan,,33748006.0,ABC Animation,109.0
Chronicle,2012-02-01,PG-13,Adventure,2012,"February 3, 2012 (United States)",7.0,243000.0,Josh Trank,Max Landis,Dane DeHaan,United States,12000000.0,126636097.0,Twentieth Century Fox,84.0
American Pie,1999-07-09,R,Comedy,1999,"July 9, 1999 (United States)",7.0,385000.0,Paul Weitz,Adam Herz,Jason Biggs,United States,11000000.0,235483004.0,Universal Pictures,95.0
Superbad,2007-03-20,R,Comedy,2007,"August 17, 2007 (United States)",7.6,535000.0,Greg Mottola,Seth Rogen,Michael Cera,United States,20000000.0,170812526.0,Columbia Pictures,113.0
Little Women,2019-12-25,PG,Drama,1994,"December 25, 1994 (United States)",7.3,54000.0,Gillian Armstrong,Louisa May Alcott,Susan Sarandon,United States,18000000.0,50083616.0,Columbia Pictures,115.0
Little Women,2019-12-25,PG,Drama,2019,"December 25, 2019 (United States)",7.8,159000.0,Greta Gerwig,Greta Gerwig,Saoirse Ronan,United States,40000000.0,216601214.0,Columbia Pictures,135.0
Little Women,1933-11-24,PG,Drama,1994,"December 25, 1994 (United States)",7.3,54000.0,Gillian Armstrong,Louisa May Alcott,Susan Sarandon,United States,18000000.0,50083616.0,Columbia Pictures,115.0
Little Women,1933-11-24,PG,Drama,2019,"December 25, 2019 (United States)",7.8,159000.0,Greta Gerwig,Greta Gerwig,Saoirse Ronan,United States,40000000.0,216601214.0,Columbia Pictures,135.0
Easy A,2010-09-16,PG-13,Comedy,2010,"September 17, 2010 (United States)",7.0,368000.0,Will Gluck,Bert V. Royal,Emma Stone,United States,8000000.0,75026327.0,Screen Gems,92.0
3 Idiots,2009-12-23,PG-13,Comedy,2009,"December 25, 2009 (India)",8.4,361000.0,Rajkumar Hirani,Rajkumar Hirani,Aamir Khan,India,,60262836.0,Vinod Chopra Productions,170.0
A Walk to Remember,2002-01-25,PG,Drama,2002,"January 25, 2002 (United States)",7.3,203000.0,Adam Shankman,Nicholas Sparks,Mandy Moore,United States,11800000.0,47494916.0,Warner Bros.,101.0
Mean Girls,2004-04-30,PG-13,Comedy,2004,"April 30, 2004 (United States)",7.0,347000.0,Mark Waters,Rosalind Wiseman,Lindsay Lohan,United States,17000000.0,130126277.0,Paramount Pictures,97.0
City of God,2002-02-05,R,Crime,2002,"February 13, 2004 (United States)",8.6,714000.0,Fernando Meirelles,Paulo Lins,Alexandre Rodrigues,Brazil,,30680793.0,O2 Filmes,130.0
10 Things I Hate About You,1999-03-30,PG-13,Comedy,1999,"March 31, 1999 (United States)",7.3,309000.0,Gil Junger,Karen McCullah,Heath Ledger,United States,30000000.0,53478579.0,Touchstone Pictures,97.0
"Love, Simon",2018-02-16,PG-13,Comedy,2018,"March 16, 2018 (United States)",7.6,104000.0,Greg Berlanti,Becky Albertalli,Nick Robinson,United States,17000000.0,66316289.0,Fox 2000 Pictures,110.0
Lady Bird,2017-09-08,R,Comedy,2017,"December 1, 2017 (United States)",7.4,254000.0,Greta Gerwig,Greta Gerwig,Saoirse Ronan,United States,10000000.0,78966486.0,IAC Films,94.0
American Beauty,1999-09-15,R,Drama,1999,"October 1, 1999 (United States)",8.3,1100000.0,Sam Mendes,Alan Ball,Kevin Spacey,United States,15000000.0,356296601.0,Dreamworks Pictures,122.0
Dead Poets Society,1989-06-02,PG,Comedy,1989,"June 9, 1989 (United States)",8.1,442000.0,Peter Weir,Tom Schulman,Robin Williams,United States,16400000.0,235860116.0,Touchstone Pictures,128.0
Clueless,1995-07-19,PG-13,Comedy,1995,"July 19, 1995 (United States)",6.8,193000.0,Amy Heckerling,Amy Heckerling,Alicia Silverstone,United States,12000000.0,56631572.0,Paramount Pictures,97.0
High School Musical 3: Senior Year,2008-10-11,G,Comedy,2008,"October 24, 2008 (United States)",4.9,59000.0,Kenny Ortega,Peter Barsocchini,Zac Efron,United States,11000000.0,252909177.0,Walt Disney Pictures,112.0
The Perks of Being a Wallflower,2012-09-20,PG-13,Drama,2012,"October 12, 2012 (United States)",7.9,475000.0,Stephen Chbosky,Stephen Chbosky,Logan Lerman,United States,13000000.0,33384127.0,Summit Entertainment,103.0
The Clovehitch Killer,2018-11-16,Unrated,Crime,2018,"November 16, 2018 (United States)",6.6,21000.0,Duncan Skiles,Christopher Ford,Dylan McDermott,United States,,167994.0,End Cue,109.0
Booksmart,2019-05-24,R,Comedy,2019,"May 24, 2019 (United States)",7.2,102000.0,Olivia Wilde,Emily Halpern,Kaitlyn Dever,United States,6000000.0,24959607.0,Annapurna Pictures,102.0
Y Tu Mamá También,2001-06-08,,Drama,1991,"June 8, 2001 (Mexico)",7.6,118000.0,Alfonso Cuarón,Carlos Cuarón,Maribel Verdú,Mexico,2000000.0,33616692.0,Anhelo Producciones,106.0
Moonlight,2016-10-21,R,Drama,2016,"November 18, 2016 (United States)",7.4,284000.0,Barry Jenkins,Barry Jenkins,Mahershala Ali,United States,4000000.0,65336603.0,A24,111.0
The Edge of Seventeen,2016-11-18,R,Comedy,2016,"November 18, 2016 (United States)",7.3,110000.0,Kelly Fremon Craig,Kelly Fremon Craig,Hailee Steinfeld,United States,9000000.0,19370020.0,Gracie Films,104.0
The Spectacular Now,2013-08-02,R,Comedy,2013,"September 13, 2013 (United States)",7.1,147000.0,James Ponsoldt,Scott Neustadter,Miles Teller,United States,2500000.0,6918591.0,Andrew Lauren Productions,95.0
Stand by Me,1986-08-08,R,Adventure,1986,"August 22, 1986 (United States)",8.1,374000.0,Rob Reiner,Stephen King,Wil Wheaton,United States,8000000.0,52287414.0,Columbia Pictures,89.0
The Outsiders,1983-03-25,PG,Crime,1983,"March 25, 1983 (United States)",7.1,78000.0,Francis Ford Coppola,Kathleen Rowell,C. Thomas Howell,United States,10000000.0,25697647.0,Zoetrope Studios,91.0
It's Kind of a Funny Story,2010-10-08,PG-13,Comedy,2010,"October 8, 2010 (United States)",7.1,139000.0,Anna Boden,Anna Boden,Keir Gilchrist,United States,8000000.0,6491240.0,Focus Features,101.0
Tolkien,2019-05-03,PG-13,Biography,2019,"May 10, 2019 (United States)",6.8,36000.0,Dome Karukoski,David Gleeson,Nicholas Hoult,United States,20000000.0,9090040.0,Fox Searchlight Pictures,112.0
Ginger Snaps,2000-08-01,Not Rated,Drama,2000,"May 11, 2001 (Canada)",6.8,43000.0,John Fawcett,Karen Walton,Emily Perkins,Canada,5000000.0,2554.0,Copperheart Entertainment,108.0
Labyrinth,1986-06-27,PG,Adventure,1986,"June 27, 1986 (United States)",7.4,127000.0,Jim Henson,Dennis Lee,David Bowie,United Kingdom,25000000.0,13915874.0,Henson Associates (HA),101.0
Dirty Dancing,1987-08-21,PG-13,Drama,1987,"August 21, 1987 (United States)",7.0,211000.0,Emile Ardolino,Eleanor Bergstein,Patrick Swayze,United States,6000000.0,214577242.0,Great American Films Limited Partnership,100.0
Boogie Nights,1997-10-07,R,Drama,1997,"October 31, 1997 (United States)",7.9,246000.0,Paul Thomas Anderson,Paul Thomas Anderson,Mark Wahlberg,United States,15000000.0,43101594.0,New Line Cinema,155.0
The Breakfast Club,1985-02-15,R,Comedy,1985,"February 15, 1985 (United States)",7.8,367000.0,John Hughes,John Hughes,Emilio Estevez,United States,1000000.0,51525171.0,Universal Pictures,97.0
Diary of a Wimpy Kid,2010-03-19,PG,Animation,2010,"March 19, 2010 (United States)",6.2,45000.0,Thor Freudenthal,Jackie Filgo,Zachary Gordon,United States,15000000.0,76196538.0,Color Force,120.0
The Miseducation of Cameron Post,2018-07-18,Not Rated,Drama,2018,"September 7, 2018 (United Kingdom)",6.6,20000.0,Desiree Akhavan,Desiree Akhavan,Chloë Grace Moretz,United States,,1474577.0,Beachside Films,91.0
Cinema Paradiso,1988-11-17,PG,Drama,1988,"February 23, 1990 (United States)",8.5,239000.0,Giuseppe Tornatore,Giuseppe Tornatore,Philippe Noiret,Italy,5000000.0,13019063.0,Cristaldifilm,155.0
Moonrise Kingdom,2012-05-16,PG-13,Comedy,2012,"June 29, 2012 (United States)",7.8,327000.0,Wes Anderson,Wes Anderson,Jared Gilman,United States,16000000.0,68264022.0,Indian Paintbrush,94.0
Juno,2007-12-05,PG-13,Comedy,2007,"December 25, 2007 (United States)",7.4,499000.0,Jason Reitman,Diablo Cody,Elliot Page,United States,7500000.0,232372681.0,Fox Searchlight Pictures,96.0
Thirteen,2003-08-20,R,Drama,2003,"September 19, 2003 (United States)",6.8,81000.0,Catherine Hardwicke,Catherine Hardwicke,Evan Rachel Wood,United States,2000000.0,10128960.0,Fox Searchlight Pictures,100.0
20th Century Women,2016-12-28,R,Comedy,2016,"January 20, 2017 (United States)",7.3,42000.0,Mike Mills,Mike Mills,Annette Bening,United States,7000000.0,7214806.0,A24,119.0
Me and Earl and the Dying Girl,2015-06-12,PG-13,Comedy,2015,"July 1, 2015 (United States)",7.7,126000.0,Alfonso Gomez-Rejon,Jesse Andrews,Thomas Mann,United States,8000000.0,9074749.0,Fox Searchlight Pictures,105.0
The Wackness,2008-07-03,R,Comedy,2008,"August 1, 2008 (United States)",7.0,30000.0,Jonathan Levine,Jonathan Levine,Josh Peck,United Kingdom,6000000.0,3175469.0,Occupant Entertainment,99.0
Billy Elliot,2000-05-18,R,Drama,2000,"November 10, 2000 (United States)",7.7,129000.0,Stephen Daldry,Lee Hall,Jamie Bell,United Kingdom,5000000.0,109283018.0,StudioCanal,110.0
Ferris Bueller's Day Off,1986-06-11,PG-13,Comedy,1986,"June 11, 1986 (United States)",7.8,330000.0,John Hughes,John Hughes,Matthew Broderick,United States,6000000.0,70720215.0,Paramount Pictures,103.0
The Kings of Summer,2013-01-19,R,Adventure,2013,"August 23, 2013 (United Kingdom)",7.1,79000.0,Jordan Vogt-Roberts,Chris Galletta,Nick Robinson,United States,,1501595.0,Big Beach Films,95.0
Boyhood,2014-06-05,R,Drama,2014,"August 15, 2014 (United States)",7.9,341000.0,Richard Linklater,Richard Linklater,Ellar Coltrane,United States,4000000.0,48137666.0,IFC Productions,165.0
My Friend Dahmer,2017-11-03,R,Biography,2017,"March 2, 2018 (France)",6.2,17000.0,Marc Meyers,Marc Meyers,Ross Lynch,United States,,1436751.0,Ibid Filmworks,107.0
Almost Famous,2000-09-15,R,Adventure,2000,"September 22, 2000 (United States)",7.9,260000.0,Cameron Crowe,Cameron Crowe,Billy Crudup,United States,60000000.0,47386287.0,Columbia Pictures,122.0
Whip It,2009-04-09,PG-13,Drama,2009,"October 2, 2009 (United States)",6.9,65000.0,Drew Barrymore,Shauna Cross,Elliot Page,United States,15000000.0,16691303.0,Fox Searchlight Pictures,111.0
Boy Erased,2018-09-24,R,Biography,2018,"November 8, 2018 (Australia)",6.9,35000.0,Joel Edgerton,Garrard Conley,Lucas Hedges,Australia,11000000.0,11853081.0,Focus Features,115.0
Persepolis,2007-06-27,PG-13,Animation,2007,"February 22, 2008 (United States)",8.0,90000.0,Vincent Paronnaud,Marjane Satrapi,Chiara Mastroianni,France,7300000.0,22783978.0,2.4.7. Films,96.0
Mommy,2014-05-22,R,Drama,2014,"October 8, 2014 (Belgium)",8.1,53000.0,Xavier Dolan,Xavier Dolan,Anne Dorval,Canada,,13156856.0,Les Films Séville,139.0
Dope,2015-06-19,R,Adventure,2015,"June 19, 2015 (United States)",7.2,82000.0,Rick Famuyiwa,Rick Famuyiwa,Shameik Moore,United States,7000000.0,17986781.0,i am OTHER,103.0
An Education,2009-10-29,PG-13,Drama,2009,"February 5, 2010 (United States)",7.3,131000.0,Lone Scherfig,Lynn Barber,Carey Mulligan,United Kingdom,7500000.0,26096852.0,BBC Films,100.0
Hunt for the Wilderpeople,2016-03-31,PG-13,Adventure,2016,"July 1, 2016 (United States)",7.9,118000.0,Taika Waititi,Taika Waititi,Sam Neill,New Zealand,,23915910.0,Piki Films,101.0
The Sisterhood of the Traveling Pants,2005-06-01,PG,Comedy,2005,"June 1, 2005 (United States)",6.5,56000.0,Ken Kwapis,Ann Brashares,Amber Tamblyn,United States,25000000.0,42013878.0,Alcon Entertainment,119.0
Fast Times at Ridgemont High,1982-08-13,R,Comedy,1982,"August 13, 1982 (United States)",7.2,98000.0,Amy Heckerling,Cameron Crowe,Sean Penn,United States,4500000.0,27092880.0,Universal Pictures,90.0
Water Lilies,2007-05-17,,Drama,2007,"August 15, 2007 (France)",6.7,11000.0,Céline Sciamma,Céline Sciamma,Pauline Acquart,France,,628258.0,Balthazar Productions,85.0
Eighth Grade,2018-01-19,R,Comedy,2018,"August 3, 2018 (United States)",7.4,68000.0,Bo Burnham,Bo Burnham,Elsie Fisher,United States,2000000.0,14347433.0,A24,93.0
Rushmore,1998-12-11,R,Comedy,1998,"February 19, 1999 (United States)",7.7,174000.0,Wes Anderson,Wes Anderson,Jason Schwartzman,United States,9000000.0,17196103.0,American Empirical Pictures,93.0
Show Me Love,1998-10-23,Not Rated,Comedy,1998,"October 23, 1998 (Sweden)",7.5,50000.0,Lukas Moodysson,Lukas Moodysson,Alexandra Dahlström,Sweden,,219331.0,Memfis Film,89.0
This Boy's Life,1993-04-09,R,Biography,1993,"April 23, 1993 (United States)",7.3,49000.0,Michael Caton-Jones,Tobias Wolff,Robert De Niro,United States,,4104962.0,Knickerbocker Films,115.0
LOL,2012-02-10,PG-13,Comedy,2012,"March 1, 2012 (Singapore)",4.4,54000.0,Lisa Azuelos,Lisa Azuelos,Miley Cyrus,United States,11000000.0,10578643.0,Double Feature Films,97.0
The Tree of Life,2011-05-17,PG-13,Drama,2011,"May 17, 2011 (France)",6.8,171000.0,Terrence Malick,Terrence Malick,Brad Pitt,United States,32000000.0,58409247.0,Cottonwood Pictures,139.0
Here on Earth,2000-03-24,PG-13,Drama,2000,"March 24, 2000 (United States)",5.2,8300.0,Mark Piznarski,Michael Seitzman,Chris Klein,United States,15000000.0,10873148.0,Fox 2000 Pictures,96.0
Mermaids,1990-12-14,PG-13,Comedy,1990,"December 14, 1990 (United States)",6.7,30000.0,Richard Benjamin,Patty Dann,Cher,United States,20000000.0,35419397.0,Orion Pictures,110.0
The Virgin Suicides,1999-12-31,R,Drama,1999,"May 19, 2000 (United States)",7.2,147000.0,Sofia Coppola,Jeffrey Eugenides,Kirsten Dunst,United States,9000000.0,10410044.0,American Zoetrope,97.0
Dazed and Confused,1993-09-24,R,Comedy,1993,"September 24, 1993 (United States)",7.6,171000.0,Richard Linklater,Richard Linklater,Jason London,United States,6900000.0,7993039.0,Gramercy Pictures (I),102.0
